Objectives_Met,Venue_Rating,Schedule_Rating,Allowance_Rating,Speaker_Rating,Facilitator_Rating,Participant_Rating,department_name
3,3,3,1,2,4,3,SOM
3,3,3,3,4,4,3,SOM
4,3,3,4,3,3,3,SITE
3,3,4,3,3,3,3,SOM
3,4,2,3,4,3,3,SNAHS
3,3,3,3,3,3,3,SNAHS
3,5,3,4,5,4,4,BEU
4,3,3,3,2,3,3,BEU
2,3,2,2,3,3,1,SOM
3,3,3,3,2,2,3,SOM
3,3,3,3,3,4,4,BEU
3,3,3,3,3,3,3,SNAHS
2,3,4,3,3,3,3,SNAHS
4,5,4,3,4,3,3,SNAHS
4,3,3,3,3,3,3,SITE
3,4,3,3,4,2,1,SITE
3,3,3,4,4,2,4,SOM
3,3,3,3,4,3,3,SOM
2,3,3,3,4,3,4,SOM
3,3,3,3,2,4,1,SBAHM
3,3,2,3,4,3,4,SITE
3,3,3,3,3,1,3,SITE
3,3,3,3,3,4,3,SOM
3,3,3,3,1,4,4,SNAHS
3,3,3,3,3,3,4,SITE
3,3,3,3,3,3,3,SOM
1,3,3,3,4,3,2,BEU
3,3,2,3,4,1,3,SNAHS
3,4,3,3,4,3,4,BEU
3,3,3,3,3,3,4,SNAHS
3,3,3,3,3,3,3,SOM
3,3,2,5,2,3,4,SOM
3,3,3,3,2,3,3,SOM
2,2,3,3,4,5,3,SNAHS
4,3,4,3,3,3,3,SOM
4,3,3,4,4,4,3,SBAHM
3,2,3,3,5,2,5,SITE
3,3,3,3,3,5,4,SBAHM
3,3,2,2,4,3,4,SBAHM
3,3,3,3,5,4,3,SBAHM
3,5,1,3,5,3,3,SITE
1,3,3,3,3,3,3,BEU
4,3,3,3,3,4,4,BEU
3,3,3,3,4,3,3,SOM
3,4,3,3,3,4,3,SNAHS
3,3,5,3,4,3,3,SOM
3,3,3,3,3,3,2,SNAHS
3,4,2,3,3,5,3,SBAHM
4,3,3,3,4,3,3,SITE
4,4,1,3,3,4,3,SNAHS
4,3,3,3,3,3,3,SITE
3,3,3,3,4,3,2,SBAHM
2,2,3,3,3,3,3,BEU
3,3,3,2,3,4,3,SITE
4,3,3,2,3,3,4,BEU
4,3,4,3,3,3,3,SNAHS
3,5,2,3,4,4,3,SNAHS
2,3,3,3,2,2,5,SITE
3,1,3,3,3,2,2,SNAHS
3,3,1,3,4,3,3,SOM
4,3,3,2,4,3,4,SBAHM
3,3,3,3,4,4,3,SOM
3,4,3,3,3,3,4,SNAHS
3,1,2,3,3,5,3,SOM
3,4,3,3,2,4,3,SNAHS
3,3,2,3,4,3,3,SNAHS
3,3,3,3,3,3,5,BEU
1,4,3,2,3,3,3,SOM
3,3,3,2,2,3,3,SOM
3,3,3,3,4,3,3,SBAHM
3,3,3,3,3,3,3,BEU
3,3,3,3,3,3,3,SNAHS
3,3,3,3,3,3,3,SBAHM
3,3,3,3,3,3,4,SITE
3,4,3,3,3,3,3,SNAHS
3,2,3,4,3,3,5,SNAHS
4,3,2,3,2,3,3,BEU
3,3,3,3,4,2,3,SNAHS
3,4,3,3,4,4,3,SNAHS
4,3,3,3,3,3,4,SOM
3,3,3,3,4,3,3,BEU
3,5,3,4,3,3,3,SOM
3,3,3,4,3,2,4,SITE
3,3,3,2,2,3,4,SITE
3,3,3,3,3,3,3,SOM
3,3,3,3,4,3,5,SITE
4,2,3,3,3,3,3,SOM
4,3,5,3,3,3,3,BEU
2,4,3,3,3,3,3,SBAHM
3,3,3,3,3,4,3,SBAHM
3,3,3,3,4,3,3,SOM
3,3,2,2,4,3,3,BEU
3,3,3,3,4,4,3,SNAHS
3,3,3,2,3,4,3,SNAHS
3,3,3,3,4,3,3,SBAHM
3,3,3,3,4,3,3,SBAHM
3,3,3,3,3,3,2,BEU
3,2,4,1,4,3,3,SOM
4,1,1,3,3,5,3,SNAHS
3,3,3,3,3,3,4,SOM
3,5,3,3,3,3,3,SNAHS
3,3,3,3,4,3,2,SITE
3,4,3,3,3,2,3,SITE
3,4,3,2,3,5,3,SNAHS
5,3,3,4,3,3,4,BEU
3,3,4,2,4,3,1,SITE
3,3,3,3,4,2,4,SOM
3,3,5,3,5,3,3,SBAHM
3,3,5,3,5,3,5,SITE
5,3,4,3,4,3,5,SITE
3,3,1,3,4,3,5,SNAHS
3,3,3,3,4,3,3,SOM
3,4,3,3,5,3,3,SOM
3,3,3,3,4,3,4,SBAHM
3,3,3,3,3,3,4,SBAHM
4,3,3,3,3,4,3,SOM
3,3,3,3,4,3,1,SOM
4,3,3,3,2,4,3,SNAHS
2,3,3,3,4,3,3,SITE
3,3,3,3,3,3,3,SITE
3,3,3,3,4,3,3,SBAHM
3,3,3,4,3,4,3,BEU
3,3,3,4,3,3,3,SBAHM
3,3,3,3,5,1,3,BEU
4,2,2,3,3,4,3,BEU
3,3,3,3,3,2,3,SNAHS
3,3,3,3,2,4,4,SOM
3,3,3,3,4,2,3,SOM
3,3,3,3,4,3,3,SITE
4,3,3,3,3,2,4,SOM
3,3,4,3,4,3,3,BEU
3,3,3,3,4,3,3,SNAHS
3,4,3,3,4,3,3,BEU
3,3,4,2,3,1,3,SNAHS
3,3,3,3,2,3,3,SBAHM
4,4,4,3,3,3,4,SITE
3,3,3,3,1,3,3,SITE
3,3,3,3,4,2,4,BEU
3,4,3,4,4,3,2,SOM
3,3,3,3,3,2,3,SOM
3,2,3,3,1,3,4,BEU
3,3,3,3,3,3,3,SOM
3,4,3,4,4,3,3,SITE
3,3,3,3,3,3,3,SBAHM
3,3,3,3,3,4,3,SOM
3,3,3,3,4,4,3,SBAHM
3,3,3,1,1,3,4,BEU
3,3,3,3,2,3,3,SBAHM
3,3,3,3,4,3,3,SNAHS
3,3,3,3,3,3,3,SOM
4,4,3,3,3,3,3,BEU
3,3,3,3,3,2,4,SNAHS
4,4,3,3,4,3,3,BEU
3,3,3,3,4,3,3,BEU
4,4,4,3,4,3,3,SOM
4,3,4,4,3,3,3,SBAHM
3,3,3,3,2,4,3,SITE
3,4,2,3,3,5,3,SNAHS
3,3,1,3,2,2,3,SOM
3,4,3,3,3,5,3,SNAHS
3,3,3,3,4,4,3,SNAHS
3,3,3,3,4,3,3,SBAHM
3,3,3,4,4,4,4,SBAHM
2,4,3,3,5,4,3,SNAHS
3,4,3,3,3,3,3,SITE
3,3,3,3,3,4,3,SBAHM
4,3,3,3,5,3,3,SITE
3,4,3,3,3,4,3,SITE
4,3,3,3,3,4,3,SITE
4,5,3,1,3,3,3,SOM
3,2,2,3,3,3,4,SITE
3,4,3,3,3,3,3,BEU
3,2,3,3,3,3,4,SITE
3,3,3,3,4,3,4,BEU
3,4,3,3,4,4,3,SITE
3,3,3,5,4,2,3,SBAHM
3,3,3,3,3,3,4,SNAHS
3,3,3,3,3,3,3,SITE
2,3,1,3,4,3,3,SOM
2,3,3,4,4,3,3,SITE
3,4,3,3,4,3,3,SBAHM
3,4,3,4,3,3,3,SITE
3,3,2,3,2,3,5,SOM
3,3,4,3,4,4,4,SNAHS
3,4,3,3,4,3,4,SNAHS
3,3,3,3,4,3,1,SOM
3,3,2,3,3,2,3,SNAHS
3,2,3,3,3,3,3,SBAHM
4,4,3,3,3,2,4,SOM
4,3,3,3,3,3,3,BEU
3,3,3,3,3,3,1,BEU
3,3,3,3,4,3,3,SNAHS
3,3,3,4,4,3,3,SNAHS
3,3,3,3,1,3,3,BEU
3,3,3,3,4,3,3,SNAHS
3,4,4,3,3,4,3,SBAHM
2,1,3,3,3,3,2,SOM
3,4,4,3,3,3,4,SBAHM
3,3,3,3,4,2,4,SITE
3,3,3,1,3,3,3,SNAHS
3,3,3,3,4,4,3,SNAHS
3,3,3,3,3,5,4,SOM
3,2,3,3,3,3,3,SBAHM
3,3,3,3,4,3,3,BEU
3,3,3,3,2,3,4,SOM
4,3,3,3,1,3,2,SNAHS
3,4,3,3,5,3,3,SITE
3,3,3,3,4,2,3,BEU
4,2,3,3,4,3,2,BEU
3,2,3,3,4,4,3,SOM
3,3,3,3,4,3,3,BEU
4,3,3,3,3,3,3,SITE
4,5,3,2,3,4,3,SOM
3,4,3,3,3,5,4,SOM
3,3,3,3,3,3,3,SITE
5,5,3,3,5,3,4,SBAHM
3,4,1,3,4,4,2,SOM
3,2,3,3,3,3,3,BEU
4,3,3,3,3,3,3,SBAHM
3,3,3,1,4,3,3,SOM
4,4,3,3,3,3,3,SBAHM
4,3,3,3,3,3,1,SOM
3,3,3,4,4,3,3,BEU
3,4,3,3,3,4,5,BEU
5,3,3,3,3,3,3,SOM
3,3,3,4,3,4,3,SNAHS
2,3,3,3,4,3,3,SBAHM
3,3,3,3,3,3,4,SBAHM
3,3,3,3,3,2,3,SBAHM
2,3,2,3,5,1,4,SBAHM
3,3,3,3,4,3,3,SOM
3,3,3,4,5,4,4,SBAHM
1,3,2,3,3,3,3,BEU
3,5,3,3,3,3,3,BEU
3,3,3,3,3,3,3,BEU
3,3,2,5,4,3,4,BEU
2,4,3,3,3,3,3,BEU
5,4,3,3,5,3,4,SITE
3,4,3,3,4,3,3,SBAHM
3,5,3,3,3,3,3,SNAHS
2,3,3,3,3,3,2,BEU
3,4,3,3,3,3,3,SOM
3,3,2,3,3,3,3,SBAHM
4,3,3,3,4,4,3,SITE
4,4,3,3,2,3,4,SNAHS
3,3,3,4,4,4,3,SITE
4,4,3,3,3,3,4,SBAHM
3,2,4,4,4,3,3,SNAHS
3,4,2,3,4,2,3,BEU
2,4,3,4,4,3,3,SITE
4,5,3,3,3,3,3,SOM
5,3,3,3,3,2,3,SITE
4,4,4,3,3,2,3,BEU
3,2,3,3,4,5,4,SOM
3,3,3,3,3,5,3,SBAHM
1,3,2,3,4,3,3,SBAHM
3,3,2,3,3,3,3,BEU
4,3,3,3,4,3,4,SNAHS
3,3,2,3,3,3,3,SNAHS
2,3,3,3,3,3,4,SNAHS
3,3,3,3,3,3,3,SOM
3,3,4,3,4,3,5,SNAHS
3,3,2,4,5,3,3,SNAHS
5,5,3,1,3,3,3,BEU
4,3,3,3,5,3,2,BEU
3,4,3,3,3,3,3,SITE
3,4,3,3,4,3,4,SNAHS
3,3,5,3,3,3,3,SITE
3,3,3,3,3,3,2,SOM
3,4,3,3,5,4,3,BEU
3,3,4,4,4,3,3,SITE
3,5,3,3,3,4,3,SNAHS
2,3,2,3,4,4,3,SOM
3,3,3,3,3,3,3,SBAHM
2,4,3,3,2,4,4,BEU
3,2,3,3,1,3,5,BEU
3,2,3,3,2,3,3,SOM
3,3,3,3,5,3,3,SNAHS
3,3,3,4,3,1,4,SBAHM
1,4,4,3,4,3,4,SBAHM
3,3,3,1,4,3,4,SNAHS
3,3,3,3,3,2,3,BEU
3,2,3,3,4,3,2,SITE
3,3,3,3,3,4,3,SITE
3,3,3,2,3,3,3,SITE
2,5,3,3,3,4,3,BEU
4,4,3,3,2,3,3,BEU
3,4,3,3,3,3,3,BEU
3,5,3,3,3,3,3,SOM
2,2,3,3,3,3,4,BEU
4,2,3,3,4,3,4,SBAHM
3,3,3,3,4,3,3,SNAHS
1,3,3,2,4,3,2,BEU
3,5,3,3,3,4,4,SITE
3,3,2,3,4,3,3,SOM
3,3,3,3,2,3,4,SNAHS
3,4,3,3,3,3,3,SNAHS
5,3,4,3,4,3,3,BEU
3,3,3,2,3,5,4,SBAHM
3,4,3,3,3,3,3,BEU
4,5,3,2,5,3,3,SBAHM
4,4,3,3,3,3,3,SBAHM
3,5,3,3,3,4,4,SITE
3,4,3,3,2,3,3,SITE
3,4,3,3,3,3,3,SITE
4,3,3,3,3,3,4,BEU
3,3,3,3,4,3,4,SITE
4,3,3,2,3,4,3,SOM
3,3,3,3,3,3,3,SOM
1,3,3,3,4,3,4,SBAHM
3,5,2,3,4,3,3,SITE
4,3,4,3,3,3,3,SOM
3,3,4,3,4,3,4,SBAHM
3,3,3,3,4,2,1,SBAHM
2,3,3,3,4,3,3,SBAHM
4,2,3,3,3,3,4,BEU
5,3,3,3,4,3,2,SITE
3,3,3,1,3,4,3,SOM
4,3,3,3,3,4,1,SOM
3,3,3,3,3,3,3,SBAHM
3,3,4,3,3,3,2,SITE
2,2,3,3,3,3,3,BEU
3,3,4,3,3,3,4,SOM
3,3,5,3,4,3,3,SNAHS
4,3,3,3,3,3,4,SITE
3,3,3,3,4,4,3,SNAHS
3,3,3,3,3,3,3,BEU
3,4,3,3,3,4,3,SOM
3,3,3,3,3,3,4,BEU
4,2,3,3,3,3,3,SITE
3,4,3,3,4,3,3,SOM
1,2,3,3,3,3,3,SITE
3,3,2,3,4,3,2,BEU
3,3,3,3,3,4,3,BEU
3,3,3,3,3,2,5,BEU
3,3,4,3,4,3,3,BEU
5,3,5,3,4,3,2,BEU
3,2,3,3,2,3,3,SOM
3,3,3,3,3,3,4,SNAHS
2,4,3,3,3,3,2,SOM
3,3,3,2,3,3,3,BEU
4,3,3,1,5,3,1,SOM
3,2,3,3,2,4,4,SOM
3,3,3,3,2,3,3,SOM
2,4,3,3,3,3,3,SITE
3,3,3,3,3,3,3,SNAHS
3,3,3,3,3,3,3,SBAHM
3,3,3,3,3,3,3,BEU
3,2,1,3,3,3,3,BEU
3,3,3,3,3,4,3,SBAHM
3,2,3,4,3,4,3,SITE
3,3,3,3,2,3,3,SITE
2,3,3,3,3,3,4,SBAHM
3,2,3,3,3,3,3,BEU
3,2,3,5,3,3,3,SNAHS
4,3,3,3,2,3,3,SNAHS
4,3,3,3,3,3,4,SOM
3,3,3,3,2,3,4,SBAHM
3,3,3,3,3,3,3,SOM
3,2,3,2,4,3,2,BEU
3,2,3,3,3,3,2,SITE
3,3,3,1,3,3,3,SOM
3,4,3,3,3,3,3,SNAHS
3,3,3,4,3,3,4,SBAHM
3,3,3,3,3,3,4,SBAHM
3,3,4,2,4,3,4,SBAHM
3,4,3,3,4,3,4,SITE
3,2,3,3,4,3,3,SITE
3,3,2,3,4,3,4,SNAHS
3,3,3,3,5,3,3,SBAHM
3,4,3,3,4,3,4,SOM
3,3,2,3,4,3,3,BEU
3,4,3,3,4,3,3,SITE
2,4,3,4,4,3,4,SNAHS
3,1,2,3,3,3,5,SNAHS
3,3,3,3,2,4,3,SBAHM
3,1,3,3,4,3,4,SITE
3,4,3,3,2,3,3,SOM
1,3,3,2,3,1,3,BEU
3,3,3,3,3,3,4,SNAHS
3,2,3,3,4,3,3,SBAHM
3,3,3,3,4,3,2,BEU
3,3,3,3,3,3,3,SNAHS
2,3,3,3,3,4,3,SNAHS
3,2,3,3,3,3,3,SITE
1,4,3,5,3,3,4,SOM
3,2,5,3,3,3,3,SOM
4,3,3,2,4,3,1,SNAHS
3,3,3,3,5,4,4,BEU
3,3,3,3,4,3,3,SOM
3,3,3,3,3,1,2,SOM
3,4,3,3,3,3,4,SOM
3,3,4,3,2,3,3,SITE
3,4,3,3,3,3,3,SITE
3,2,3,3,3,3,3,SBAHM
3,3,3,3,3,3,3,SOM
3,5,3,3,4,4,2,BEU
2,5,4,3,3,4,3,SNAHS
4,3,3,2,3,2,3,SITE
4,4,3,3,3,3,3,BEU
3,5,3,3,3,3,5,SITE
3,3,3,3,3,3,3,BEU
3,2,3,3,3,3,3,SBAHM
5,4,3,3,3,3,3,SITE
3,3,3,3,2,2,3,BEU
3,3,3,4,3,3,4,BEU
5,3,3,3,4,3,3,SBAHM
2,4,3,3,3,3,3,SOM
3,3,3,3,4,5,3,SITE
4,5,2,3,3,3,3,SOM
3,2,3,3,3,3,3,BEU
3,3,3,3,3,4,1,SBAHM
3,3,3,3,3,3,4,SNAHS
1,4,3,3,4,5,3,SOM
3,4,1,2,4,3,3,SBAHM
3,2,3,3,2,3,3,SBAHM
3,4,3,3,3,3,3,SNAHS
3,3,3,3,4,3,4,SITE
3,3,4,3,4,3,3,SNAHS
3,3,3,3,4,3,3,BEU
3,3,3,3,3,4,5,SITE
3,3,3,3,3,3,4,SNAHS
3,4,3,3,3,3,3,SOM
3,3,3,3,3,3,3,SNAHS
3,3,4,3,3,2,4,SBAHM
1,3,3,3,4,3,3,SITE
4,3,3,4,5,3,3,BEU
3,3,3,3,3,3,3,SBAHM
3,3,3,3,3,3,3,SNAHS
2,4,3,3,3,3,3,SBAHM
3,4,3,3,3,3,3,SNAHS
2,3,3,3,3,3,3,SNAHS
3,5,3,3,3,4,3,SITE
3,3,3,1,3,3,3,SITE
3,2,3,3,3,3,3,SNAHS
3,3,3,3,3,3,3,SOM
3,3,3,3,3,3,3,SNAHS
3,3,3,3,3,3,4,SITE
2,3,3,5,2,3,3,BEU
2,4,3,3,3,3,3,SITE
4,3,3,2,3,4,3,SOM
3,3,3,3,3,3,4,SOM
3,3,3,3,4,3,3,BEU
3,3,3,3,3,2,4,SBAHM
3,4,3,3,3,3,4,SOM
3,4,3,3,1,2,3,BEU
3,3,3,3,3,3,3,SBAHM
3,3,3,3,4,2,3,BEU
3,3,3,1,5,4,3,SNAHS
3,3,3,5,3,3,3,SNAHS
3,3,3,3,3,4,3,BEU
3,3,2,3,3,3,3,SBAHM
3,2,3,3,4,4,1,SOM
3,1,3,3,4,3,3,SNAHS
3,3,3,3,3,3,3,SOM
4,4,3,3,3,3,3,SOM
3,3,3,3,3,3,3,SITE
3,3,2,2,3,4,5,SBAHM
5,3,3,4,3,3,3,SNAHS
3,3,3,3,1,3,3,BEU
3,4,3,3,4,3,4,SBAHM
3,2,3,2,4,3,5,SOM
4,3,3,3,3,4,2,SOM
3,3,3,3,3,3,3,SBAHM
3,3,3,3,2,3,3,SNAHS
3,3,3,3,3,3,5,SNAHS
3,3,2,3,3,3,2,SOM
3,3,3,3,3,4,3,SNAHS
4,4,3,3,4,3,3,BEU
3,3,3,3,3,2,3,SBAHM
3,4,3,4,4,3,3,SNAHS
3,3,3,3,2,3,1,SITE
3,3,3,4,3,4,4,SNAHS
5,3,3,4,3,3,3,SOM
5,3,3,4,3,3,3,SNAHS
3,3,3,2,3,3,3,SNAHS
3,3,3,3,3,3,3,SITE
4,3,3,3,3,3,3,BEU
3,3,3,3,4,3,2,BEU
3,3,5,3,3,4,4,BEU
2,3,3,3,4,3,3,BEU
3,4,3,3,4,3,3,SBAHM
3,3,3,4,3,3,3,BEU
3,3,3,3,3,3,3,SBAHM
3,3,3,3,4,2,3,SBAHM
3,3,3,3,5,3,4,SNAHS
3,4,3,3,3,3,3,SBAHM
3,3,3,3,3,3,4,BEU
3,3,3,3,3,3,4,SNAHS
4,3,3,3,5,1,3,SOM
4,3,3,3,3,3,4,SNAHS
4,3,2,3,3,3,4,SITE
3,3,3,3,3,3,3,SNAHS
3,3,4,3,3,3,2,SITE
2,3,3,3,3,3,3,SOM
4,3,3,3,4,3,2,SBAHM
3,3,3,3,4,2,2,SBAHM
4,3,3,3,4,3,3,SBAHM
3,4,2,3,3,3,3,SOM
3,4,3,3,4,2,3,SITE
2,4,3,3,5,3,5,SBAHM
4,4,4,1,5,3,3,SNAHS
3,3,2,3,3,3,2,SOM
3,2,3,3,4,4,2,SITE
3,3,3,3,3,4,5,SBAHM
3,3,2,3,3,3,3,SNAHS
4,4,4,3,3,3,3,SITE
4,3,3,3,3,3,4,SOM
3,3,3,3,3,3,3,SBAHM
3,3,3,3,4,3,2,SBAHM
2,3,3,3,3,3,3,SBAHM
3,3,3,4,2,3,3,SOM
3,4,3,3,3,4,3,SOM
3,3,3,3,3,3,3,SBAHM
3,3,3,4,2,3,3,SBAHM
3,3,3,4,3,3,3,SBAHM
3,3,3,3,4,3,3,BEU
3,2,3,3,3,4,3,SNAHS
3,3,3,3,4,3,5,SOM
5,3,3,3,4,3,1,SOM
3,3,3,3,3,3,3,BEU
3,3,3,3,3,3,3,SITE
3,4,3,3,3,3,3,SNAHS
3,4,3,3,3,3,3,SOM
3,3,4,2,4,3,4,BEU
3,5,3,3,3,3,1,SNAHS
3,3,5,4,4,3,4,BEU
3,4,3,4,4,3,3,SOM
3,4,5,3,3,3,3,SNAHS
3,3,3,3,4,4,4,SOM
3,5,3,3,5,4,3,SBAHM
3,4,3,3,4,4,2,SOM
3,3,3,3,1,3,4,SNAHS
3,3,1,3,4,3,2,SOM
3,2,3,3,3,3,3,SBAHM
2,3,3,3,3,3,3,BEU
3,3,3,3,3,3,3,SOM
2,2,3,3,4,3,4,SBAHM
3,3,2,3,3,3,1,SNAHS
3,3,3,3,3,3,3,SNAHS
3,3,3,3,4,3,3,BEU
3,3,3,4,4,3,3,SNAHS
4,3,3,3,4,3,2,SNAHS
3,3,4,5,3,3,2,SBAHM
3,3,3,3,3,3,3,SNAHS
3,3,3,1,4,3,2,SITE
1,3,3,3,4,3,3,SITE
2,3,3,3,2,3,4,SBAHM
3,3,3,3,3,3,3,SOM
5,3,3,3,4,3,3,SITE
3,2,3,3,3,3,3,SITE
3,3,3,3,3,4,2,SNAHS
4,3,3,4,3,3,1,SNAHS
3,4,3,3,3,3,4,SITE
3,3,3,3,3,3,3,SOM
4,4,3,2,3,5,3,SITE
3,4,3,3,4,3,3,SNAHS
3,5,3,3,4,3,4,SNAHS
1,4,4,4,4,3,4,SBAHM
3,5,5,4,3,3,3,SBAHM
2,3,3,3,4,3,3,BEU
3,3,3,4,1,3,3,SBAHM
3,3,3,3,3,3,4,SITE
3,4,3,3,3,3,3,SNAHS
4,2,3,5,3,3,3,SOM
3,2,5,3,2,3,3,SOM
4,3,3,3,3,3,4,SBAHM
4,3,3,3,3,3,3,SOM
3,3,3,3,3,3,4,SOM
3,3,3,3,4,3,3,SNAHS
2,3,3,3,3,3,3,SOM
3,2,3,3,3,4,3,SBAHM
3,3,3,3,3,1,3,SITE
4,3,4,2,4,3,3,SOM
4,3,3,3,3,3,3,SNAHS
3,3,3,3,3,3,3,SOM
2,3,3,3,4,3,3,SNAHS
3,3,3,3,4,2,3,BEU
3,4,3,3,5,2,2,SOM
4,3,3,3,3,4,3,BEU
3,3,3,3,4,3,4,SOM
3,3,4,2,4,2,4,BEU
3,3,4,3,5,3,4,SNAHS
3,3,4,3,2,3,3,SITE
3,2,1,3,3,2,3,SOM
4,3,3,3,3,5,3,SBAHM
4,3,3,3,3,3,3,SITE
3,3,1,4,4,3,3,SITE
3,3,3,4,4,3,3,SOM
3,3,3,3,4,4,3,SOM
3,4,3,3,3,3,2,SITE
3,3,2,3,3,3,4,BEU
5,4,2,5,4,3,3,BEU
4,4,3,3,4,3,3,BEU
3,3,3,3,3,3,3,SBAHM
3,3,3,3,2,3,4,BEU
3,3,2,3,4,4,4,SNAHS
3,3,3,3,4,3,4,SNAHS
3,5,3,3,3,3,5,SNAHS
1,3,3,3,3,3,3,SITE
3,3,3,3,3,3,3,BEU
3,3,3,1,3,3,3,SNAHS
4,3,3,3,4,3,3,SBAHM
3,3,3,3,3,3,4,BEU
4,3,3,2,5,3,2,SBAHM
3,4,3,3,3,3,3,SITE
3,3,3,3,4,3,4,SITE
4,3,3,2,4,3,3,SITE
3,4,3,3,3,3,2,SBAHM
3,5,3,3,3,3,3,SITE
3,3,3,3,2,4,3,SITE
3,4,2,3,3,3,5,SNAHS
3,3,3,3,3,3,3,SNAHS
4,4,3,3,3,3,4,SNAHS
3,2,3,3,5,3,4,SNAHS
3,3,3,5,3,3,3,SOM
4,3,3,3,3,3,3,SOM
3,5,3,4,4,3,2,SOM
3,3,3,3,3,3,5,SNAHS
3,2,3,3,3,3,5,SBAHM
3,3,3,4,3,3,5,SNAHS
3,2,3,3,3,3,3,SNAHS
3,3,3,3,3,3,3,SNAHS
3,3,3,3,4,2,3,SITE
3,4,2,2,3,3,3,SOM
3,3,3,1,4,3,3,SBAHM
3,1,2,3,3,3,4,SOM
3,3,3,3,3,3,2,SOM
3,1,3,3,4,3,4,BEU
3,4,3,4,3,3,3,SITE
3,3,4,3,4,3,3,BEU
4,3,3,3,3,3,3,SNAHS
3,3,4,3,4,3,3,SBAHM
3,3,3,3,3,3,3,SBAHM
4,4,3,3,4,3,3,SITE
3,3,4,3,3,3,3,BEU
2,3,3,3,2,3,3,SBAHM
3,5,3,3,3,3,4,SOM
3,3,3,3,3,3,3,SOM
4,3,3,1,3,3,4,SNAHS
3,3,3,3,3,4,3,SBAHM
2,4,2,3,3,4,3,SNAHS
3,3,3,3,4,3,3,SITE
4,3,3,3,5,3,3,SOM
3,3,3,2,3,3,4,BEU
3,2,4,3,2,3,4,SOM
2,2,3,4,3,3,5,BEU
3,1,4,3,4,4,3,SOM
3,3,3,1,4,3,3,SITE
3,3,2,4,3,4,3,SNAHS
3,3,3,3,2,3,3,BEU
3,3,3,2,3,4,3,SNAHS
2,3,3,3,5,3,3,BEU
4,3,3,4,4,3,3,SITE
3,4,3,2,3,3,3,SITE
3,3,3,3,3,3,3,SNAHS
4,2,3,4,1,3,3,SOM
5,3,4,3,3,3,3,SITE
3,2,2,3,4,3,3,SBAHM
3,3,3,3,3,4,2,SOM
3,3,3,3,3,3,3,SBAHM
3,3,3,3,2,3,3,SITE
4,4,3,3,4,3,3,SBAHM
3,1,5,3,3,3,4,SITE
3,3,3,3,3,3,3,SBAHM
3,3,3,3,3,3,4,BEU
3,3,4,3,3,3,5,SBAHM
